id,surahNumber,verseNumber,page,juz,hizb
v1_1,1,1,1,1,1.0
v1_2,1,2,1,1,1.0
v1_3,1,3,1,1,1.0
v1_4,1,4,1,1,1.0
v1_5,1,5,1,1,1.0
v1_6,1,6,1,1,1.0
v1_7,1,7,1,1,1.0
v2_1,2,1,2,1,1.1
v2_2,2,2,2,1,1.1
v2_3,2,3,2,1,1.1
v2_4,2,4,2,1,1.1
v2_5,2,5,2,1,1.1
v2_6,2,6,3,1,1.2
v2_7,2,7,3,1,1.2
v2_8,2,8,3,1,1.2
v2_9,2,9,3,1,1.2
v2_10,2,10,3,1,1.2
v2_11,2,11,3,1,1.2
v2_12,2,12,3,1,1.2
v2_13,2,13,3,1,1.2
v2_14,2,14,3,1,1.2
v2_15,2,15,3,1,1.2
v2_16,2,16,3,1,1.2
v2_17,2,17,4,1,1.3
v2_18,2,18,4,1,1.3
v2_19,2,19,4,1,1.3
v2_20,2,20,4,1,1.3
v2_21,2,21,4,1,1.3
v2_22,2,22,4,1,1.3
v2_23,2,23,4,1,1.3
v2_24,2,24,4,1,1.3
v2_25,2,25,5,1,1.4
v2_26,2,26,5,1,1.4
v2_27,2,27,5,1,1.4
v2_28,2,28,5,1,1.4
v2_29,2,29,5,1,1.4
v2_30,2,30,6,1,1.5
v2_31,2,31,6,1,1.5
v2_32,2,32,6,1,1.5
v2_33,2,33,6,1,1.5
v2_34,2,34,6,1,1.5
v2_35,2,35,6,1,1.5
v2_36,2,36,6,1,1.5
v2_37,2,37,6,1,1.5
v2_38,2,38,7,1,1.6
v2_39,2,39,7,1,1.6
v2_40,2,40,7,1,1.6
v2_41,2,41,7,1,1.6
v2_42,2,42,7,1,1.6
v2_43,2,43,7,1,1.6
v2_44,2,44,7,1,1.6
v2_45,2,45,7,1,1.6
v2_46,2,46,7,1,1.6
v2_47,2,47,7,1,1.6
v2_48,2,48,7,1,1.6
v2_49,2,49,8,1,1.7
v2_50,2,50,8,1,1.7
v2_51,2,51,8,1,1.7
v2_52,2,52,8,1,1.7
v2_53,2,53,8,1,1.7
v2_54,2,54,8,1,1.7
v2_55,2,55,8,1,1.7
v2_56,2,56,8,1,1.7
v2_57,2,57,8,1,1.7
v2_58,2,58,9,1,1.8
v2_59,2,59,9,1,1.8
v2_60,2,60,9,1,1.8
v2_61,2,61,9,1,1.8
v2_62,2,62,10,1,1.9
v2_63,2,63,10,1,1.9
v2_64,2,64,10,1,1.9
v2_65,2,65,10,1,1.9
v2_66,2,66,10,1,1.9
v2_67,2,67,10,1,1.9
v2_68,2,68,10,1,1.9
v2_69,2,69,10,1,1.9
v2_70,2,70,11,1,2.0
v2_71,2,71,11,1,2.0
v2_72,2,72,11,1,2.0
v2_73,2,73,11,1,2.0
v2_74,2,74,11,1,2.0
v2_75,2,75,11,1,2.0
v2_76,2,76,11,1,2.0
v2_77,2,77,12,1,2.1
v2_78,2,78,12,1,2.1
v2_79,2,79,12,1,2.1
v2_80,2,80,12,1,2.1
v2_81,2,81,12,1,2.1
v2_82,2,82,12,1,2.1
v2_83,2,83,12,1,2.1
v2_84,2,84,13,1,2.2
v2_85,2,85,13,1,2.2
v2_86,2,86,13,1,2.2
v2_87,2,87,13,1,2.2
v2_88,2,88,13,1,2.2
v2_89,2,89,14,1,2.3
v2_90,2,90,14,1,2.3
